Plants,Pollinators
Acacia dealbata,Bombus dahlbomii
Acacia dealbata,Bombus ruderatus
Acaena pinnatifida,Scaeva melanostoma
Adesmia ,Apis mellifera
Adesmia ,Scaeva melanostoma
Adesmia ,Villa 
Adesmia capitellata,Anthidium
Adesmia conferta,Alloscirtetica 
Adesmia conferta,Alloscirtetica rufitarsis
Adesmia conferta,Anthidium chilense
Adesmia conferta,Anthidium decaspilum
Adesmia conferta,Anthidium gayi
Adesmia conferta,Centris cineraria
Adesmia conferta,Chilicola 
Adesmia conferta,Epiclopus gayi
Adesmia conferta,Megachile 
Adesmia conferta,Pseudolucia chilensis
Adesmia conferta,Scaeva melanostoma
Adesmia glomerula,Anthidium
Adesmia glomerula,Faunula leucoglene
Alstroemeria ligtu,Alloscirtetica gayi
Alstroemeria ligtu,Alloscirtetica gayi
Alstroemeria ligtu,Anthrax 
Alstroemeria ligtu,Apis mellifera
Alstroemeria ligtu,Astylus trifasciatus
Alstroemeria ligtu,Bombus ruderatus
Alstroemeria ligtu,Bombus terrestris
Alstroemeria ligtu,Bombus terrestris
Alstroemeria ligtu,Bombyliidae 
Alstroemeria ligtu,Caenohalictus 
Alstroemeria ligtu,Caenohalictus azarae
Alstroemeria ligtu,Centris nigerrima
Alstroemeria ligtu,Centris nigerrima
Alstroemeria ligtu,Dasybasis 
Alstroemeria ligtu,Epiclopus gayi
Alstroemeria ligtu,Lasia aenea
Alstroemeria ligtu,Lasia corvina
Alstroemeria ligtu,Lasia corvina
Alstroemeria ligtu,Lasioglossum 
Alstroemeria ligtu,Manuelia gayi
Alstroemeria ligtu,Manuelia gayi
Alstroemeria ligtu,Megachile 
Alstroemeria ligtu,Megachile cinerea
Alstroemeria ligtu,Mycteromyia
Alstroemeria ligtu,Mycteromyia
Alstroemeria ligtu,Notanthidium steloides
Alstroemeria ligtu,Nymphalidae 
Alstroemeria ligtu,Phoebis 
Alstroemeria ligtu,Ruizantheda mutabilis
Alstroemeria ligtu,Ruizantheda proxima
Alstroemeria ligtu,Ruizantheda proxima
Alstroemeria ligtu,Svastrides melanura
Alstroemeria ligtu,Tatochila
Alstroemeria ligtu,Tatochila mercedis
Alstroemeria ligtu,Trichothurgus 
Alstroemeria ligtu,Trichothurgus 
Alstroemeria ligtu,Vespula germanica
Alstroemeria pallida,Alloscirtetica 
Alstroemeria pallida,Alloscirtetica gayi
Alstroemeria pallida,Anthidium funereum
Alstroemeria pallida,Megachile 
Alstroemeria pallida,Megachile semirufa
Alstroemeria pallida,Scaeva melanostoma
Alstroemeria pallida,Svastrides melanura
Amomyrtus luma,Apis mellifera
Amomyrtus luma,Bombus dahlbomii
Amomyrtus luma,Cadeguala albopilosa
Amomyrtus luma,Corynura patagonica
Amomyrtus luma,Dasydema hirtella
Amomyrtus luma,Eurymetopum
Amomyrtus meli,Adalia deficiens
Amomyrtus meli,Allograpta pulchra
Amomyrtus meli,Apis mellifera
Amomyrtus meli,Bombus dahlbomii
Amomyrtus meli,Cadeguala albopilosa
Amomyrtus meli,Chenoderus testaceus
Amomyrtus meli,Corynura corinogaster
Amomyrtus meli,Corynura patagonica
Amomyrtus meli,Diphaglossa gayi
Amomyrtus meli,Eryphus laetus
Amomyrtus meli,Eurymetopum
Amomyrtus meli,Mordella erythrura
Amomyrtus meli,Rhopalomerus tenuirostris
Amomyrtus meli,Stilbosoma cyaneum
Anarthrophyllum cumingii,Alloscirtetica rufitarsis
Anarthrophyllum cumingii,Centris cineraria
Anarthrophyllum cumingii,Hypodynerus
Anarthrophyllum cumingii,Megachile 
Anarthrophyllum cumingii,Yramea lathonoides
Antirrhinum ,Bombus dahlbomii
Antirrhinum ,Bombus ruderatus
Aristotelia chilensis,Apis mellifera
Aristotelia chilensis,Bombus dahlbomii
Asteranthera ovata,Bombus dahlbomii
Astragalus ,Alloscirtetica 
Astragalus ,Anthidium gayi
Astragalus ,Megachile 
Astragalus ,Pseudolucia chilensis
Azara ,Apis mellifera
Azorella madreporica,Dasybasis 
Azorella madreporica,Scaeva melanostoma
Berberis darwinii,Apis mellifera
Berberis darwinii,Bombus dahlbomii
Berberis darwinii,Cadeguala albopilosa
Berberis darwinii,Corynura patagonica
Berberis empetrifolia,Caenohalictus 
Berberis empetrifolia,Hypodynerus
Berberis empetrifolia,Scaeva melanostoma
Bipinnula fimbriata,Caenohalictus 
Bipinnula fimbriata,Colletes musculus
Bipinnula fimbriata,Colletes seminitidus
Bomarea salsilla,Acrophthalmyda paulseni
Bomarea salsilla,Bombus dahlbomii
Bomarea salsilla,Bombus terrestris
Bomarea salsilla,Manuelia gayatina
Bomarea salsilla,Mathania leucothea
Bowlesia tropaeolifolia,Scaeva melanostoma
Brassica napus,Apis mellifera
Brassica napus,Bombus terrestris
Brassica oleracea,Bombus terrestris
Brassica rapa,Apis mellifera
Buddleja globosa,Apis mellifera
Caiophora coronata,Anthidium
Caiophora coronata,Bombus dahlbomii
Calandrinia affinis,Caenohalictus 
Calandrinia affinis,Hypodynerus
Calandrinia affinis,Phulia nymphula
Calandrinia affinis,Scaeva melanostoma
Calceolaria ,Apis mellifera
Calceolaria arachnoidea,Bombus terrestris
Calceolaria arachnoidea,Centris nigerrima
Calceolaria arachnoidea,Chalepogenus 
Calceolaria arachnoidea,Chalepogenus herbsti
Calceolaria arachnoidea,Megachile semirufa
Calceolaria biflora,Centris nigerrima
Calceolaria biflora,Megachile semirufa
Calceolaria corymbosa,Centris nigerrima
Calceolaria corymbosa,Chalepogenus caeruleus
Calceolaria crenatiflora,Bombus terrestris
Calceolaria filicaulis,Bombus terrestris
Calceolaria filicaulis,Chalepogenus caeruleus
Calceolaria filicaulis filicaulis,Bombus terrestris
Calceolaria filicaulis filicaulis,Chalepogenus caeruleus
Calceolaria filicaulis luxurians,Centris nigerrima
Calceolaria filicaulis luxurians,Chalepogenus caeruleus
Calceolaria purpurea,Centris nigerrima
Calceolaria purpurea,Chalepogenus 
Calceolaria valdiviana,Chalepogenus caeruleus
Caldcluvia paniculata,Apis mellifera
Caldcluvia paniculata,Bombus dahlbomii
Caldcluvia paniculata,Mordella erythrura
Caldcluvia paniculata,Peleteria filipalpis
Caldcluvia paniculata,Platycheirus chalconota
Campsidium valdivianum,Elaenia albiceps
Campsidium valdivianum,Turdus falklandii
Capsicum annuum,Bombus terrestris
Carduus pycnocephalus,Auca coctei
Carduus pycnocephalus,Bombus dahlbomii
Carduus pycnocephalus,Hylephila fasciolata
Cerastium arvense,Bombus dahlbomii
Cerastium arvense,Caenohalictus 
Cerastium arvense,Hypodynerus
Cerastium arvense,Pseudolucia chilensis
Cerastium arvense,Scaeva melanostoma
Chaetanthera euphrasioides,Caenohalictus 
Chaetanthera euphrasioides,Scaeva melanostoma
Chaetanthera euphrasioides,Trichophthalma
Chaetanthera euphrasioides,Villa 
Chaetanthera flabellata,Faunula leucoglene
