,Bombus dahlbomii,Apis mellifera,Scaeva melanostoma,Bombus terrestris,Bombus ruderatus,Mecopselaphus,Caenohalictus,Megachile saulcyi,Centris cineraria,Centris nigerrima,Villa,Cadeguala_albopilosa,Anthidium_chilense,Corynura_lepida,Auca_coctei,Hylephila_fasciolata,Corynura_chilensis,Syrphus_octomaculatus,Allograpta_pulchra,Diadasia_chilensis,Faunula,Phulia_nymphula,Tatochila_mercedis,Alloscirtetica,Alloscirtetica_gayi,Anthidium,Anthidium_funereum,Chalepogenus_caeruleus,Lasia_aenea,Pseudolucia_chilensis,Ruizantheda_mutabilis,Svastrides_melanura,Trichophthalma,Arthrobrachus_nigromaculatus,Chalepogenus,Chauliognathus,Megachile_rotundata,Mordella,Vespula_germanica,Alloscirtetica_rufitarsis,Anthidium_gayi,Colias_vauthierii,Dolichogyna_chilensis,Lasia_corvina,Megachile_semirufa,Ruizantheda_proxima,Stilbosoma_cyaneum,Tatochila,Trichophthalma_barbarossa,Yramea,Allograpta_hortensis,Colletes_cyanescens,Corynura_chloris,Corynura_cristata,Corynura_patagonica,Cosmosatyrus,Epiclopus_gayi,Eristalis_tenax,Eryphus_laetus,Faunula_leucoglene,Lasioglossum,Manuelia_gayatina,Mycteromyia_conica,Platycheirus_chalconota,Rhopalomerus_tenuirostris,Turdus_falcklandii.,Vanessa_carye,Yramea_lathonoides,Acrophthalmyda_paulseni,Adalia_deficiens,Anthidium_decaspilum,Anthophora_incerta,Bilyaxia_concinna,Bombyliidae,Cadeguala_occidentalis,Centris,Chilicola,Colletes_seminitidus,Corynura_corinogaster,Corynura_herbsti,Dasybasis,Diphaglossa_gayi,Elaphroptera,Eurymetopum,Haplous_,Hylephila,Manduca_sexta,Manuelia,Mathania_leucothea,Megachile_cinerea,Megalybus_crassus,Peleteria_filipalpis,Trichothurgus_dubius,Allograpta,Alloscirtetica_lanosa,Alloscirtetica_tristrigata,Aneriophora_aureorufa,Anthophora_paranensis,Anthrax,Anthrenoides,Argyrophorus_,Arthrobrachus,Astylus_trifasciatus,Bibionidae,Blatta_orientalis,Bombus,Caenohalictus_azarae,Caenohalictus_dolator,Caenohalictus_rostraticeps,Calliopsis_trifasciata,Caupolicana_hirsuta,Centris_chilensis,Chalepogenus_herbsti,Chenoderus_testaceus,Chilicola_chalcidiformis,Coelioxys,Colletes_araucariae,Colletes_cognatus,Colletes_fulvipes,Colletes_musculus,Colletes_nigritulus,Corynura_rubella,Dasydema_hirtella,Dasyomma_caeruleum,Elaenia_albiceps,Fazia_macquarti,Hypodynerus,Hypodynerus_chiliensis,Hypodynerus_colocolo,Isepeolus,Leioproctus,Leioproctus_semicyaneus,Leptoglossus_chilensis,Lichnia_limbata,Lonchopria_zonalis,Manuelia_gayi,Manuelia_postica,Megachile,Melanophthalma,Melissoptila,Mesonychium,Mitrodetus_dentitarsis,Mycteromyia,Neofidelia_profuga,Neomaenas,Notanthidium_steloides,Nymphalidae_,Pepsis_limbata,Phoebis,Platycheirus_fenestrata,Protopsilapha,Pseudagapostemon_pissisi,Rhynchalastor_scabriusculus,Romanophora,Ruizantheda,Scaptia,Seioptera_importans,Solenopsis_gayi,Sphecodes_chilensis,Sphex_latreillei,Spinoliella_herbsti,Syrphus,Syrphus_reedi,Tatochila_blanchardi,Toxomerus_calceolatus.,Trichophthalma_subaurata,Trichothurgus_,Trichothurgus_wagenknechti,Triploechus_heteronevrus,Vanessa_terpsichore,Yramea_cytheris
Eucryphia cordifolia,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Alstroemeria ligtu,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Echinopsis chiloensis,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimulus luteus,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stachys albicaulis,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escallonia myrtoidea,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phacelia secunda,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Viola portalesia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Schizanthus hookeri,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echium vulgare,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
